Average - t,,Energies,,,,
seqNum,isOcc,pt tracks Occ,pt tracks No Occ,bbox No Occ,boox Occ,initialization
1,0,4.063015494,4.063015494,4.063015494,4.063015494,4.063015494
,1,3.0540398148,3.0540398148,3.0540398148,3.0540398148,3.0540398148
,2,4.8221936159,4.8221936159,4.8221936159,4.8221936159,4.8221936159
2,0,,,,,
5,-1,7.4738481555,7.4738481555,7.4738481555,7.4738481555,7.4738481555
,0,3.4058551914,3.4058551914,3.5855426625,3.5855426625,3.5855426625
,1,2.6382973451,2.6382973451,2.6382973451,2.6382973451,2.6382973451
,2,3.5673807897,3.5673807897,3.5673807897,3.5673807897,3.5673807897
9,0,3.9046360668,3.9984329551,6.4092905644,4.8319171165,2.97885339
,1,5.789392265,5.1832496712,13.1460064013,11.1634428098,3.8379704559
,2,3.3355919761,3.3132203817,3.3581959996,3.3414065319,3.3884421014
11,0,2.1375398067,2.2016628458,2.1846764297,2.1846764297,2.1846764297
,1,4.1358505002,4.1434004496,4.1434004496,4.1434004496,4.1434004496
,2,6.6659793515,6.6659793515,6.6659793515,6.6659793515,6.6659793515
13,0,1.445375936,1.4608861727,1.445375936,1.445375936,1.445375936
,1,1.8965198282,1.8965198282,1.8965198282,1.8965198282,1.8965198282
,2,21.5630148865,21.5630148865,21.5630148865,21.5630148865,21.5630148865
14,0,2.8586561262,2.8586561262,2.8586561262,2.8586561262,2.8586561262
,1,4.6810558674,4.6874528108,4.6810558674,4.6810558674,4.6810558674
,2,9.993208658,9.993208658,9.993208658,9.993208658,9.993208658
15,0,2.336441048,2.3376491403,2.3106035591,2.3106035591,2.3149871243
,1,17.3241656388,17.3241656388,17.3241656388,17.3241656388,17.3241656388
,2,6.3638071638,6.3638071638,6.3638071638,6.3638071638,6.3638071638
17,-1,2.5033159138,2.4906564411,2.2474080282,2.2474080282,2.2474080282
,0,1.0578677076,1.0740329354,1.064248068,1.064248068,1.064248068
,1,6.0138675439,0.8331697695,0.8331697695,0.8331697695,0.8331697695
,2,1.9527049999,1.1688954583,1.3334557959,1.3334557959,1.3334557959
18,0,1.6786608796,1.6786608836,1.8531176436,1.8531176436,1.6990304242
,1,,,,,
,2,,,,,
19,0,2.657385634,2.6588913326,2.6588913326,2.6588913326,2.6588913326
,1,5.0421484713,5.0401222187,5.0401222187,5.0401222187,5.0401222187
,2,4.9554624227,4.9554624227,4.9554624227,4.9554624227,4.9554624227
20,-1,2.152614985,2.1515683364,2.1671966576,2.1671966576,2.152614985
,0,,,,,
,1,0.6882533335,0.6882533335,0.6882533335,0.6882533335,0.6882533335
,2,4.7637544144,4.7348381888,4.7637544144,4.7637544144,4.7637544144
23,0,2.1825881931,2.1912149697,2.1703057075,2.1703057075,2.1703057075
,1,2.3788973364,2.3788973364,2.3788973364,2.3788973364,2.3788973364
,2,5.7885986258,5.7885986258,5.7525560777,5.7525560777,5.7525560777
27,0,6.6423439149,6.6423439149,6.6423439149,6.6423439149,6.6423439149
28,0,6.6152104284,6.5700484105,6.5700484105,6.5700484105,6.5700484105
,1,4.1545371695,4.1545371695,4.1545371695,4.1545371695,4.1545371695
29,0,1.9789894122,1.9789894122,1.9789894122,1.9789894122,1.9789894122
,1,,,,,
32,-1,15.3511839464,15.3392179567,15.3432033129,15.3432033129,15.3504858595
,0,2.1530015044,2.1786805683,2.1530015044,2.1530015044,2.1530015044
,1,4.4990801723,4.4990801723,4.4990801723,4.4990801723,4.4990801723
,2,10.2717617991,10.134510268,10.2717617991,10.2717617991,10.2717617991
35,0,4.8813917373,4.8813917373,11.9772616249,11.1431988909,7.9750597211
,1,3.0820337566,3.0820337566,3.4842275786,3.4669240918,3.399255186
,2,4.2327023791,4.2327023791,9.1699295698,9.1258893233,9.0732261846
36,-1,5.378007563,5.6141054606,5.378007563,5.378007563,5.378007563
,0,1.5367486519,1.4969599689,1.5367486519,1.5367486519,1.5367486519
,1,5.1522698964,5.2149488477,5.1522698964,5.1522698964,5.1524806311
,2,5.1080728268,3.935179591,5.1080728268,5.1080728268,5.1080728268
39,0,1.6359167004,1.625588753,1.6293724798,1.6293724798,1.625588753
,1,2.119499839,2.0242591558,2.0319038509,2.0319038509,2.0242591558
,2,2.6295666059,2.6557757021,2.6513613092,2.6513613092,2.6557757021
46,0,1.6383436681,1.9051217023,1.8321229798,1.8321229798,1.7868648045
,1,3.3074025035,3.3676274325,3.3491208114,3.3491208114,3.4056574761
,2,2.4611116798,3.123684182,1.4939996282,1.4939996282,2.2399579202
48,0,3.7988433368,3.7988433368,3.7988433368,3.7988433368,3.7988433368
,1,,,,,
,2,,,,,
51,0,6.6316475918,6.6434162632,6.6316511203,6.6316511203,6.6500448986
,1,3.4444021608,3.6095251563,3.5551032554,3.5551032554,3.5551032554
,2,2.834540755,2.834540755,2.834540755,2.834540755,2.834540755
52,0,0.5713207401,0.6198782898,0.569469624,0.569469624,0.569469624
,1,2.7368726758,2.7368726758,2.7368726758,2.7368726758,2.7368726758
,2,0.7819618691,0.7819618691,0.7438024368,0.7438024368,0.7438024368
56,0,2.2741333031,2.2736872276,2.2742854818,2.2742854818,2.2736872276
,1,3.7382201844,3.7673692376,3.7673692376,3.7673692376,3.7673692376
,2,9.177931862,9.177931862,9.177931862,9.177931862,9.177931862
59,-1,32.5532357207,32.5532357207,32.5532357207,32.5532357207,32.5532357207
,0,6.1503260515,6.1503260515,6.1503260515,6.1503260515,6.1503260515
,1,10.1207261069,10.13468561,10.1207261069,10.1207261069,10.1207261069
,2,15.0958638283,15.0958638283,15.0958638301,15.0958638301,15.0812484781
60,0,,,12.639914208,12.639914208,4.8161050071
,1,,,,,
61,0,2.9718351332,2.9752304675,2.9720705305,2.9720705305,3.0037139813
,1,3.1201911599,3.1201911599,3.1201911599,3.1201911599,3.528813408
,2,4.6209375309,4.6209375309,4.6209375309,4.6209375309,4.6209375309
64,-1,4.6010034062,4.6743603468,4.6010034062,4.6010034062,4.6010034062
,0,1.6422261524,1.6420535608,1.6335705432,1.6335705432,1.6330271469
,1,3.3940801136,3.4140660523,3.3940801136,3.3940801136,3.3940801136
,2,2.3536540123,2.3536540123,2.3536540123,2.3536540123,2.3536540123
70,0,4.1849220199,4.1849220199,4.1849220199,4.1849220199,4.1849220199
,1,,,,,
,2,,,,,
79,-1,0.5759455408,0.5759455408,0.5759455408,0.5759455408,0.5759455408
,2,,,,,
86,-1,0.5856171524,0.5856171524,0.585622258,0.585622258,0.45826901
,0,3.94448671,3.94448671,3.94448671,3.94448671,3.94448671
87,0,5.9858520036,5.9858520036,5.9858520036,5.9858520036,5.9462822442
,2,,,,,
91,0,,,,,
,1,,,,,
,2,,,,,
93,0,3.4038065248,3.4189580213,3.45073643,3.5404425829,3.4451821389
,1,6.4748142032,6.456764322,6.1323163032,6.2091751778,6.4395719565
,2,3.522376557,3.5217638709,3.861140386,3.9089689518,6.4460574026
Total Result,,4.2025670328,4.1849734151,4.7112922822,4.5742532557,4.2154642232
